is_primary_nan,total_area,basement,elevator,balcony,property_level,heating_type_nan,balcony_nan,row_price_m2,total_property_level,parking_nan,url,building_type_nan,building_year,heating_type,price,is_primary,total_property_level_nan,elevator_nan,id,is_parking,no_rooms,district_norm,building_type,property_level_nan,building_year_nan,portal_name,basement_nan
0,32.0,1,0,0,10,0,0,24969,10,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-srodmiescie-sienna-32m2-mzn2043456532,1,1973,urban,799000.0,0,0,0,mzn2043456532,1,1,srodmiescie,UNKNOWN,0,0,morizon,0
0,32.0,1,0,0,10,0,0,24969,10,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-srodmiescie-sienna-32m2-mzn2043456532,1,1973,urban,799000.0,0,0,0,mzn2043456532,1,1,srodmiescie,UNKNOWN,0,0,morizon,0
0,32.0,1,0,0,10,0,0,24969,10,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-srodmiescie-sienna-32m2-mzn2043456532,1,1973,urban,799000.0,0,0,0,mzn2043456532,1,1,srodmiescie,UNKNOWN,0,0,morizon,0
0,32.0,1,0,0,10,0,0,24969,10,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-srodmiescie-sienna-32m2-mzn2043456532,1,1973,urban,799000.0,0,0,0,mzn2043456532,1,1,srodmiescie,UNKNOWN,0,0,morizon,0
0,55.0,1,0,0,3,1,0,15614,3,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-ochota-bitwy-warszawskiej-1920-r-55m2-mzn2043212395,1,1950,UNKNOWN,865000.0,0,0,0,mzn2043212395,1,2,ochota,UNKNOWN,0,0,morizon,0
0,40.0,0,1,0,100,0,0,21696,100,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-wilanow-rzeczypospolitej-40m2-mzn2043416929,1,2011,urban,870000.0,0,1,0,mzn2043416929,1,2,wilanow,UNKNOWN,1,0,morizon,0
0,46.0,0,1,1,1,0,0,19156,4,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-ursynow-zloty-potok-46m2-mzn2043492253,0,2014,urban,885000.0,0,0,0,mzn2043492253,1,3,ursynow,apartment,0,0,morizon,0
0,48.0,0,0,0,100,0,0,18729,100,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-praga-poludnie-nieklanska-48m2-mzn2043486104,0,1959,urban,899000.0,0,1,0,mzn2043486104,1,2,praga poludnie,tenement,1,0,morizon,0
0,57.0,0,0,0,100,0,0,18729,100,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-mokotow-aleja-wilanowska-57m2-mzn2043411211,0,1959,urban,899000.0,0,1,0,mzn2043411211,1,2,mokotow,tenement,1,0,morizon,0
0,56.0,1,1,1,3,1,0,16339,15,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-ursynow-stefana-szolc-rogozinskiego-56m2-mzn2043448938,1,1981,UNKNOWN,915000.0,0,0,0,mzn2043448938,1,3,ursynow,UNKNOWN,0,0,morizon,0
0,42.0,1,0,0,100,0,0,22024,100,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-zoliborz-zygmunta-krasinskiego-42m2-mzn2043445790,0,1930,urban,925000.0,0,1,0,mzn2043445790,1,2,zoliborz,tenement,1,0,morizon,0
0,60.0,1,0,0,100,0,0,22024,100,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-bielany-klaudyny-60m2-mzn2043451738,0,1930,urban,925000.0,0,1,0,mzn2043451738,1,2,bielany,tenement,1,0,morizon,0
0,65.0,1,0,1,4,0,0,14538,4,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-bielany-jana-kochanowskiego-65m2-mzn2043522328,1,1975,urban,945000.0,0,0,0,mzn2043522328,1,3,bielany,UNKNOWN,0,0,morizon,0
0,68.0,1,0,1,4,0,0,14538,4,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-ursynow-wiolinowa-68m2-mzn2043440426,1,1975,urban,945000.0,0,0,0,mzn2043440426,1,3,ursynow,UNKNOWN,0,0,morizon,0
0,52.0,1,1,1,1,0,0,18033,5,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-jagiellonska-52m2-mzn2043416928,0,2004,urban,950000.0,0,0,0,mzn2043416928,1,2,UNKNOWN,tenement,0,0,morizon,0
0,48.0,1,0,1,1,0,0,20604,4,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-srodmiescie-48m2-mzn2043140531,0,1962,central,989000.0,0,0,0,mzn2043140531,1,3,srodmiescie,tenement,0,0,morizon,0
0,60.0,0,1,1,9,0,0,16337,10,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-mokotow-lukowa-60m2-mzn2043509458,1,1978,urban,990000.0,0,0,0,mzn2043509458,1,3,mokotow,UNKNOWN,0,0,morizon,0
0,53.0,1,1,0,5,0,0,18529,6,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-wola-al-jana-pawla-ii-53m2-mzn2043488928,0,1953,urban,990000.0,0,0,0,mzn2043488928,1,3,wola,tenement,0,0,morizon,0
0,52.0,0,0,0,2,0,0,19135,10,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-praga-poludnie-lubelska-52m2-mzn2043483405,1,1995,urban,995000.0,0,0,0,mzn2043483405,1,3,praga poludnie,UNKNOWN,0,0,morizon,0
0,47.0,0,1,1,1,1,0,21121,4,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-wilanow-kazachska-47m2-mzn2043407471,0,2014,UNKNOWN,999000.0,0,0,0,mzn2043407471,1,2,wilanow,apartment,0,0,morizon,0
0,56.0,0,1,1,5,0,0,18110,7,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-mokotow-przejazd-56m2-mzn2043414507,0,2007,urban,1017800.0,0,0,0,mzn2043414507,1,2,mokotow,apartment,0,0,morizon,0
0,57.0,0,0,0,1,1,0,17857,3,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-ursynow-makolagwy-57m2-mzn2043432611,1,2001,UNKNOWN,1020000.0,0,0,0,mzn2043432611,1,3,ursynow,UNKNOWN,0,0,morizon,0
0,40.0,0,0,0,1,1,0,17857,3,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-ursynow-klobucka-40m2-mzn2043508582,1,2001,UNKNOWN,1020000.0,0,0,0,mzn2043508582,1,3,ursynow,UNKNOWN,0,0,morizon,0
0,45.0,0,0,1,4,0,0,23287,11,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-wola-juliana-konstantego-ordona-45m2-mzn2043449532,1,2015,urban,1050000.0,0,0,0,mzn2043449532,1,2,wola,UNKNOWN,0,0,morizon,0
0,65.0,0,0,0,2,0,0,16424,8,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-mokotow-aleja-gen-wladyslawa-sikorskiego-65m2-mzn2043368944,0,2015,urban,1072500.0,0,0,0,mzn2043368944,1,3,mokotow,apartment,0,0,morizon,0
0,47.0,0,1,1,4,1,0,22803,5,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-wola-sztuk-pieknych-47m2-mzn2043339234,1,2013,UNKNOWN,1090000.0,0,0,0,mzn2043339234,1,2,wola,UNKNOWN,0,0,morizon,0
0,72.0,1,0,1,1,0,0,16528,13,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-praga-poludnie-72m2-mzn2043378423,1,1987,urban,1190000.0,0,0,0,mzn2043378423,1,3,praga poludnie,UNKNOWN,0,0,morizon,0
0,60.0,1,1,1,9,0,0,20056,14,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-praga-poludnie-jana-nowaka-jezioranskiego-60m2-mzn2043486658,0,2014,urban,1220000.0,0,0,0,mzn2043486658,1,3,praga poludnie,apartment,0,0,morizon,0
0,75.0,0,1,0,100,0,0,16651,100,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-bielany-wolczynska-75m2-mzn2043451530,1,2012,urban,1250000.0,0,1,0,mzn2043451530,1,3,bielany,UNKNOWN,1,0,morizon,0
0,67.0,0,1,1,2,0,0,19146,8,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-praga-poludnie-miedzyborska-67m2-mzn2043400006,1,2012,urban,1300000.0,0,0,0,mzn2043400006,1,3,praga poludnie,UNKNOWN,0,0,morizon,0
0,65.0,0,0,1,1,0,0,20430,5,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-wola-wawrzyszewska-65m2-mzn2043415162,1,2014,urban,1330000.0,0,0,0,mzn2043415162,1,3,wola,UNKNOWN,0,0,morizon,0
0,69.0,0,0,1,1,0,0,20430,5,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-ursynow-klobucka-69m2-mzn2043454642,1,2014,urban,1330000.0,0,0,0,mzn2043454642,1,3,ursynow,UNKNOWN,0,0,morizon,0
0,70.0,0,1,1,4,0,0,19912,4,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-praga-poludnie-celownicza-70m2-mzn2043417548,0,2022,urban,1399000.0,0,0,0,mzn2043417548,1,4,praga poludnie,apartment,0,0,morizon,0
